,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
328,BBlunt Intense Shine Shampoo with Rice & Silk Protein for 23X* Shinier Hair  (300 ml),₹381,https://www.flipkart.com/bblunt-intense-shine-shampoo-rice-silk-protein-23x-shinier-hair/p/itm7c4c34d797f18?pid=SMPGPF8FMCZZJVC2&lid=LSTSMPGPF8FMCZZJVC2W3TJOE&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_289&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPGPF8FMCZZJVC2.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/7/b/k/300-intense-shine-shampoo-with-rice-silk-protein-for-23x-shinier-original-imagpc2zgappafpa.jpeg?q=70,Hair Shine Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"Dull and lackluster hair stealing away your spotlight? Introducing the new BBLUNT Intense Shine Shampoo which not only cleanses your scalp and hair gently but also softens and smoothens the hair while adding oodles of shine. 
Infused with the richness of Rice & Silk Protein, Intense Shine Shampoo improves the texture of your hair and makes them appear 23X Shinier*. So turn up the shine and steal that spotlight back. But wait, there’s more. BBLUNT Intense Shine Shampoo is crafted especially for all Indian hair types, textures, and lengths making it the perfect choice. 
 
*When tested in lab vs. ordinary non-conditioning shampoo","Applied For	Hair Shine
Hair Type	All Hair Types
Ideal For	Men & Women",,HonasaConsumerLtd4.6
329,L'Oréal Paris Color Protect Shampoo  (650 ml),₹509,https://www.flipkart.com/l-oral-paris-color-protect-shampoo/p/itmfayrbayqwdmhc?pid=SMPFJ3FY4YFGMFFU&lid=LSTSMPFJ3FY4YFGMFFU6LBT6Z&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_290&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPFJ3FY4YFGMFFU.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/w/t/3/-original-imaghdy3pu5jnz4s.jpeg?q=70,Color Protection Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: NA,No Description,"Applied For	Color Protection
Hair Type	All Hair Types
Composition	NA
Container Type	Plastic Bottle
Ideal For	Men & Women",Hats off to teal flip kart for such a super fast delivery at Amritsar in critical lock down period. Much appreciated all your efforts for your customer. Plz stay safe with all your team members.. :- This is really good shampoo I really like it And the packing is very good        THANK YOU FLIPKART :- Good price Very  good product I am happy to buy this product thank you flip kart,SURICYBCOMBazaar4.7
330,"St.Botanica Pro Keratin & Argan Oil Smooth Therapy Shampoo, 300ml - Intense Hair Repair For Dry, Damaged & Color Treated Hair, No Parabens, Silicons or SLS/Sulphate  (300 ml)",₹359,https://www.flipkart.com/st-botanica-pro-keratin-argan-oil-smooth-therapy-shampoo-300ml-intense-hair-repair-dry-damaged-color-treated-hair-no-parabens-silicons-sls-sulphate/p/itmeeecec497af65?pid=SMPFJHN5KFYZVC2A&lid=LSTSMPFJHN5KFYZVC2AHFS0NZ&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_291&otracker=search&otracker1=search&fm=organic&iid=en_n8bLvEWZW3jI2u8J9xPEtftNpMPIa8v1ORnM%2B%2FOirHj%2FG63oLQ2kpvQl0NtkOZGMbzFQzpF7YGC6vAOY9R4VHA%3D%3D&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/l5h2xe80/shampoo/l/u/q/-original-imagg4wgccpwjhjp.jpeg?q=70,"Damage Repair Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Purified Water, Sodium Cocoyl Isethionate (Derived from coconut), Sodium Lauroyl Sarcosinate (Derived from coconut), Vegetable Glycerin, Beheneth-25 Methacrylate Copolymer, Cocamidopropyl Betaine (Derived from coconut oil), Ethylene Glycol Distearate, Guar Hydroxypropyltrimonium Chloride (Derived from guar gum), Polyquaternium 10,",No Description,"Applied For	Damage Repair
Hair Type	All Hair Types
Composition	Purified Water, Sodium Cocoyl Isethionate (Derived from coconut), Sodium Lauroyl Sarcosinate (Derived from coconut), Vegetable Glycerin, Beheneth-25 Methacrylate Copolymer, Cocamidopropyl Betaine (Derived from coconut oil), Ethylene Glycol Distearate, Guar Hydroxypropyltrimonium Chloride (Derived from guar gum), Polyquaternium 10,
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","I purchased this product for my wife. She has started using this Pro keratin & Argan oil shampoo almost 3 weeks back. Before I share my review on this product, I must say my wife has some really dry hair and unfortunately her journalism work demands her to travel a lot, which exposes her to dust, dirt, pollution and what not! Just video chatting with her last night, I noticed her hair quality has shown some good changes and asked her about it, and she said she is using this shampoo and likin... :- I've been using it along with the conditioner with the same name. They should be used together for best results. I've attached a picture to show the difference in their feel and colour. The shampoo is thinner and off white while the conditioner is creamier.Pros - = It is made from amazing ingredients like Argan Oil, Bhringraj Oil and Sweet Almond Oil. It's chemical free too. = It effectively cleans the hair and makes them smooth. = The smell lasts long. = It feels premium and should be ... :- This is the first time I am using this product. It was available in neat package arrived at time. Comparing with other shampoos, this extremely suited my hair well. No frizz,  good smell and easy to use. I get headache and hair fall whenever I use other shampoos, but this one proved me wrong. It retains moisture in the scalp. No sulphate and parabens. So very safe to use and an user friendly. The cost was a bit more, but comparing it's quality and other sulphate free shampoos St. Botanica is ...",STBOTANICA4.7
331,"Meera Hairfall Care Shampoo,Goodness Of Badam & Shikakai,Paraben Free  (340 ml)",₹240,https://www.flipkart.com/meera-hairfall-care-shampoo-goodness-badam-shikakai-paraben-free/p/itmcaea08f66c311?pid=SMPFTHXQCSJJGGBT&lid=LSTSMPFTHXQCSJJGGBTBMP4R0&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_292&otracker=search&otracker1=search&fm=organic&iid=en_n8bLvEWZW3jI2u8J9xPEtftNpMPIa8v1ORnM%2B%2FOirHhwhHpfnrLd5RtmErtHKeN5NsF8F%2BtPqAAYC0u9i5SOUA%3D%3D&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/g/t/f/-original-imagq9znys7j2guf.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Shikakai and Almonds,No Description,"Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	Shikakai and Almonds
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India",It's a amazing product I use it always there is no side effects I recommend you all that this product is suitable for all types of hair! And thank you so much flip kart :- Nice quality :- Good product,OptimVRcommerce4.8
332,HEAD & SHOULDERS Cool Menthol 2-in-1 Anti-Dandruff Shampoo + Conditioner for Scalp Protection  (340 ml),₹455,https://www.flipkart.com/head-shoulders-cool-menthol-2-in-1-anti-dandruff-shampoo-conditioner-scalp-protection/p/itm1db4b08f77906?pid=SMPFGUN2AZNYQNJ7&lid=LSTSMPFGUN2AZNYQNJ7K8RI7A&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_293&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPFGUN2AZNYQNJ7.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/khf63680/shampoo/r/2/p/340-cool-menthol-340-ml-head-and-shoulders-original-imafxg5fekxpfvmj.jpeg?q=70,Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Fresh Scent,No Description,"Applied For	Anti-dandruff
Hair Type	All Hair Types
Composition	Fresh Scent
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	india",Good Product :- Nice product :- good maza agya nahane me,SURICYBCOMBazaar4.7
333,QUAT Aloe Vera Natural Hair shampoo  (1 L),₹304,https://www.flipkart.com/quat-aloe-vera-natural-hair-shampoo/p/itma5c385f404948?pid=SMPFY2AXHVAHMJPY&lid=LSTSMPFY2AXHVAHMJPYRPAFOQ&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_294&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPFY2AXHVAHMJPY.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kqqykcw0/shampoo/w/7/a/1-aloe-vera-natural-hair-shampoo-quat-original-imag4znasrq2sbgz.jpeg?q=70,"Daily Care, Straightening & Smoothening, Anti-dandruff, Scalp Cleansing, Anti-hair Fall, Damage Repair, Deep Conditioning, Hair Volumizing, Hair Shine Shampoo Ideal For: Men & Women Suitable For: All Hair Types",No Description,"Applied For	Daily Care, Straightening & Smoothening, Anti-dandruff, Scalp Cleansing, Anti-hair Fall, Damage Repair, Deep Conditioning, Hair Volumizing, Hair Shine
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	india","This is my 3rd time purchasing and it's really very good best aloevera shampoo :- The product was very good . hair was become silky , smooth , shine .......best product :- I hve rough hair with oily dandruff..this shampoo is osum.. working vry good..hair became silky nd dandruff reduced..i got this shampoo at rs-284(1ltr)",Divinethecare4.6
334,VASU Shyamla Shampoo 400 ml  (400 ml),₹269,https://www.flipkart.com/vasu-shyamla-shampoo-400-ml/p/itmf3xfst79z2hbz?pid=SMPEW9YHZA9FRS7S&lid=LSTSMPEW9YHZA9FRS7S2P52RU&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_295&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPEW9YHZA9FRS7S.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kt4ozgw0/shampoo/r/d/x/400-shyamla-shampoo-400-ml-vasu-original-imag6jeggm7rgmq2.jpeg?q=70,"Damage Repair, Anti-hair Fall, Split-ends, Nourishment & Moisturization Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Amla, Aritha, Shikakai, Henna & Lemon",Long and strong fortifying shampoo,"Applied For	Damage Repair, Anti-hair Fall, Split-ends, Nourishment & Moisturization
Hair Type	All Hair Types
Composition	Amla, Aritha, Shikakai, Henna & Lemon
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1",I have tried most of the shampoos but this is something that is free from harmful chemicals and it really works on hairs .1) helps to maintain smooth and shiny hairs2) reduces dandruff3) No need of conditioningI suggest U its worth to buy this with a small change in diet and using herbal shampoo will make reduction in hairfall and maintain shiny hairs :- nice product...Dr. suggest me .bt everyone can use it. :- I got Rs 135Good,VasuStore4.4
335,"TRICHUP 2 NATURAL SHAMPOO (400 ML) (ENRICHED WITH NEEM,HENNA & ALOEVERA)  (500 ml)",₹449,https://www.flipkart.com/trichup-2-natural-shampoo-400-ml-enriched-neem-henna-aloevera/p/itm9790c618aee7c?pid=SMPFXEQSMXZ3BTKY&lid=LSTSMPFXEQSMXZ3BTKY7ADQ4P&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_296&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPFXEQSMXZ3BTKY.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/khdqnbk0/shampoo/g/y/y/400-2-natural-shampoo-400-ml-enriched-with-neem-henna-aloevera-original-imafxemgtwz2hvgw.jpeg?q=70,Daily Care Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"Natural cleaning process makes it gentle enough for everyday use::India's first shampoo made From ""Real Beer""::5 in 1 conditioning gives you 5 times more conditioned hair with proteins and natural bio-actives of barley and hops::Hops & yeast in beer helps to alleviate dandruff and reduces itchiness of scalp. All types of shampoos are giving you best result for all types of hair problem all shampoo are best for you. Nourish your scalp with the moisturizing goodness of real natural effect softens and cleanses your hair leaving it healthier with every wash. Giving Long Strongest & Best Hair .giving You All Problems Free Hair Afte Use This Shampoo","Applied For	Daily Care
Hair Type	All Hair Types
Ideal For	Men & Women
pack_of	2",Nyc product..But late delivery 🚚 :- Nice product :- Good,J J Onlion4.1
336,"Nyle Naturals Damage Repair Shampoo, With Goodness Of Shikakai And Hibiscus, 400ml  (400 ml)",₹127,https://www.flipkart.com/nyle-naturals-damage-repair-shampoo-goodness-shikakai-hibiscus-400ml/p/itmc252d5ce29136?pid=SMPG9CJKCBMFJGBG&lid=LSTSMPG9CJKCBMFJGBGLOLLTH&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_297&otracker=search&otracker1=search&fm=organic&iid=en_n8bLvEWZW3jI2u8J9xPEtftNpMPIa8v1ORnM%2B%2FOirHjbKFQsIanmhV%2FD%2FmEjvsBSAZdVUvlRPjwcHyYwFKRQNA%3D%3D&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kwqq1zk0/shampoo/x/6/h/800-naturals-damage-repair-shampoo-with-goodness-of-shikakai-and-original-imag9cjhah4fvvkq.jpeg?q=70,"Damage Repair Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropylbetaine, Cocamide Mea, Peg-40 Hydrogenated Castor Oil , Peg-7 Glyceryl Cocoate , Peg/Ppg-120/10 Trimethylolpropane Trioleate , Glycerin, Carica Papaya (Papaya) Extract, Hibiscus Rosa-Sinensis (Hibiscus) Extract, Phyllanthus Emblica (Amla) Extract, Acacia Concinna (Shikakai) Extract, Fragrance, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Sodium Chloride, Disodium Edta, Citric Acid, Methylchloroisothiazolinone , Methylisothiazolinone, Bht, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Ci 15510.",No Description,"Applied For	Damage Repair
Hair Type	All Hair Types
Composition	Water, Sodium Laureth Sulfate, Cocamidopropylbetaine, Cocamide Mea, Peg-40 Hydrogenated Castor Oil , Peg-7 Glyceryl Cocoate , Peg/Ppg-120/10 Trimethylolpropane Trioleate , Glycerin, Carica Papaya (Papaya) Extract, Hibiscus Rosa-Sinensis (Hibiscus) Extract, Phyllanthus Emblica (Amla) Extract, Acacia Concinna (Shikakai) Extract, Fragrance, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Sodium Chloride, Disodium Edta, Citric Acid, Methylchloroisothiazolinone , Methylisothiazolinone, Bht, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Ci 15510.
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1
Country of Origin	India",Good shampooo :- Nice product after 1use my hair so soft :- Good,OptimVRcommerce4.8
337,WOW SKIN SCIENCE Onion Shampoo for Hair Growth and Hair Fall Control  (300 ml),₹299,https://www.flipkart.com/wow-skin-science-onion-shampoo-hair-growth-fall-control/p/itm2cce4a237c884?pid=SMPFKVGHRMZMP7J3&lid=LSTSMPFKVGHRMZMP7J3LEYW1O&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_298&otracker=search&otracker1=search&fm=organic&iid=en_n8bLvEWZW3jI2u8J9xPEtftNpMPIa8v1ORnM%2B%2FOirHiEzN7aRxf1vEwdsDmMGZiezFsfEeH274Wo3QQ%2FqabueQ%3D%3D&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/4/u/v/-original-imagnkryfgwxjvnc.jpeg?q=70,"Nourishment & Moisturization, Damage Repair, Scalp Cleansing, Anti-hair Fall, Anti-dandruff, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Red onion extract and black seed oil",No Description,"Applied For	Nourishment & Moisturization, Damage Repair, Scalp Cleansing, Anti-hair Fall, Anti-dandruff, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Red onion extract and black seed oil
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","It's really a sulphate free hair friendly product..!! As there is no Sulphates the lather formation will be of course poor.. So keep that in mind.. Question is do you want lather at the cost of your Baldness or Good strong hair without lather formation..I want to clarify it more properly.. Lather formation occurs on 3rd wash..!!Steps to follow:take a small mug type thing in which you can dilute your (5-6times pressed out amount for men) shampoo in that mug with Warm or hot water of gyser..... :- Pretty damn good shaampoo. Doesn't leave the hair sticky or too dry. Good fragrance. No unwanted chemicals used making it safer to use. Usually while getting up in morning my hair used to sticky/tangled conditions but used this at night the next it was amazing.Would really recommend the products of WOW to anyone.And thanks to Flipkart for having such great products and delivering those with great packaging and on time... :- Product is quite good, but fragrance is not as good as the apple cider vinegar one which i had previously used but that's good.It does it's work well, hair becomes shiny and smooth.Will give more details after long time use.",BodyCupid4.5
338,look hair Onion Oil and Onion Shampoo  (500 ml),₹399,https://www.flipkart.com/look-hair-onion-oil-shampoo/p/itm8a9e4b2018063?pid=SMPGFZYGGKYZGHAK&lid=LSTSMPGFZYGGKYZGHAK3GF4TH&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_299&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPGFZYGGKYZGHAK.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kmuxevk0/conditioner/t/h/q/500-onion-oil-and-onion-conditioner-200ml-300ml-look-hair-original-imagfz35jhbz99b6.jpeg?q=70,"Damage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Straightening & Smoothening, Restore & Renew Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: onion","Look hair oil is a great source of 14 Herbs perfectly blended. It's for ALL TYPE OF HAIR - Ideal to Boost Hair Growth, Anti Hair Fall","Applied For	Damage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Straightening & Smoothening, Restore & Renew
Hair Type	All Hair Types
Composition	onion
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	2
Country of Origin	india",Best products thank u flipcart :- Very Good product...Thank You Flipkart Excellent :- Good product,LONGWAYTREASURE4.3
339,PARK AVENUE Damage Free Beer Shampoo  (650 ml),₹414,https://www.flipkart.com/park-avenue-damage-free-beer-shampoo/p/itmf6bhhhycwd9ff?pid=SMPFX5U4DQKVYQQJ&lid=LSTSMPFX5U4DQKVYQQJ6OYIJ5&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_300&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPFX5U4DQKVYQQJ.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/klfhk7k0/shampoo/v/j/7/650-park-damage-free-beer-shampoo-park-avenue-original-imagyjbzhqwhx4zm.jpeg?q=70,"Damage Repair, Daily Care, Anti-hair Fall, Split-ends, Anti-dandruff, Hair Volumizing, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types","This richly lathering Damage Free shampoo is packed with real beer which has excellent conditioning properties. It protects against hair damage from the roots leaving it strong and healthy. Leave you hair shiny, non-sticky and bouncy with Park Avenue beer shampoo.","Applied For	Damage Repair, Daily Care, Anti-hair Fall, Split-ends, Anti-dandruff, Hair Volumizing, Straightening & Smoothening
Hair Type	All Hair Types
Ideal For	Men & Women
pack_of	1
Country of Origin	India",Nice shampoo and fragrance is good nice packaging and very first delivery thank you Flipkart... :- Nice shampoo :- Super,FragranceAndFashion4.1
340,"Meera Strong & Healthy Shampoo,With Kunkudukai & Badam,Unisex,Paraben Free  (650 ml)",₹524,https://www.flipkart.com/meera-strong-healthy-shampoo-with-kunkudukai-badam-unisex-paraben-free/p/itmc865883091e60?pid=SMPFEVRZFAYXVKQH&lid=LSTSMPFEVRZFAYXVKQH7EKOYL&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_301&otracker=search&otracker1=search&fm=organic&iid=en_n8bLvEWZW3jI2u8J9xPEtftNpMPIa8v1ORnM%2B%2FOirHg9L6EFfrLVC5m1JGmm9bHFTwKgpx1s2MTDXZ98E7lcKA%3D%3D&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/6/4/v/-original-imagq9zfgzyysvhs.jpeg?q=70,Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Kunkudukai and Almonds,No Description,"Applied For	Straightening & Smoothening
Hair Type	All Hair Types
Composition	Kunkudukai and Almonds
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","Delivered at time, and I like the shampoo :- Thank you . :- Wow very fast delivery 🤩🤩😍😍👍👍👍👍 thank you Flipkart workers ❤️❤️❤️❤️💕💕💕💕💕💕💕",OptimVRcommerce4.8
341,Kesh King Ayurvedic Anti-dandruff Shampoo|Dandruff Free Hair|Soothes itchy scalp  (600 ml),₹359,https://www.flipkart.com/kesh-king-ayurvedic-anti-dandruff-shampoo-dandruff-free-hair-soothes-itchy-scalp/p/itmc36317ba93fe5?pid=SMPGDJNFDVQFMYWM&lid=LSTSMPGDJNFDVQFMYWMF4WB6M&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_302&otracker=search&otracker1=search&fm=organic&iid=en_n8bLvEWZW3jI2u8J9xPEtftNpMPIa8v1ORnM%2B%2FOirHjZKA%2F%2FlmKFQiphaIPvVuvNef62AwqDfmvaRs%2FKxuCc9w%3D%3D&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/c/s/t/600-anti-dandruff-ayurvedic-hairfall-expert-grap-shampoo-600ml-original-imagmfju2wfwpgwr.jpeg?q=70,"Anti-dandruff, Anti-hair Fall, Softening & Silkening Shampoo Ideal For: Women Suitable For: Normal Hair",No Description,"Applied For	Anti-dandruff, Anti-hair Fall, Softening & Silkening
Hair Type	Normal Hair
Ideal For	Women
pack_of	1",I've been using this shampoo for about 3 times now and I must say it's a good shampoo to clear out dandruff and make your hair smooth after washing. The smell is good and mild. I would suggest washing your hair twice a week with this shampoo fro better results. :- Osam :- All good,SANYURIecom4.5
342,L'Oréal Paris Fall Resist Resist 3x Anti-Hair Fall Shampoo 640ml  (640 ml),₹540,https://www.flipkart.com/l-oral-paris-fall-resist-3x-anti-hair-shampoo-640ml/p/itmf3xfwtvtep7gh?pid=SMPF2FSPYPV5GVFF&lid=LSTSMPF2FSPYPV5GVFFX4XPU4&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_303&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPF2FSPYPV5GVFF.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/jdkjzww0/shampoo/v/f/f/640-fall-resist-resist-3x-anti-hair-fall-shampoo-640ml-l-oreal-original-imaf2frz6ezh8ath.jpeg?q=70,Damage Repair Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Creamy,No Description,"Applied For	Damage Repair
Hair Type	All Hair Types
Composition	Creamy
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1",good :- supper service :- nice packed I love it....... thnk u flipkart,SURICYBCOMBazaar4.7
343,mamaEarth Lemon Anti-D&ruff Shampoo with Lemon & Ginger for Itchy & Flaky Scalp  (250 ml),₹313,https://www.flipkart.com/mamaearth-lemon-anti-d-ruff-shampoo-ginger-itchy-flaky-scalp/p/itm2fe5d9dd1a75b?pid=SMPGKPNK9N5RYUFH&lid=LSTSMPGKPNK9N5RYUFHZKOBFL&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_304&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPGKPNK9N5RYUFH.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/y/l/m/-original-imagzzm5g3nyzpvh.jpeg?q=70,Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types,No Description,"Applied For	Anti-dandruff
Hair Type	All Hair Types
Ideal For	Men & Women",Very nice product from mama Earth :- Nice Product And Quality Is Also Good :- Nice product and good packaging,HonasaConsumerLtd4.6
344,Revlon Flex Shampoo for Dry & Damaged Hair  (592 ml),₹242,https://www.flipkart.com/revlon-flex-shampoo-dry-damaged-hair/p/itm72fac289c2a76?pid=SMPG99FGTHGEFC8X&lid=LSTSMPG99FGTHGEFC8XZPKYX2&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_8_305&otracker=search&otracker1=search&fm=organic&iid=86e055b5-c67a-4714-b6b0-6cb5f9e7c2b3.SMPG99FGTHGEFC8X.SEARCH&ppt=None&ppn=None&ssid=56r2a01iqo0000001687456794062&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/o/c/a/-original-imagqezh5rtmpjzg.jpeg?q=70,"Damage Repair Shampoo Ideal For: Men & Women Suitable For: Dry Hair Composition: Water, Sodium Laureth Sulphate, Sodium Lauryl Sulphate, Tetrasodium EDTA, Citric Acid, Hydrolyzed Silk, 2-Methyl 5-Chloro 4 Isothizolin 3-One,D-Panthanol, Butylene Glycol,Cocamido Propyl Betaine,Lauramide DEA,Propyl Paraben, Methyl Paraben ,Tocopherol Acetate, Sodium Chloride, Fragrance,",Provide your hair with a moisturizing shampoo that fights dryness and controls damage,"Applied For	Damage Repair
Hair Type	Dry Hair
Composition	Water, Sodium Laureth Sulphate, Sodium Lauryl Sulphate, Tetrasodium EDTA, Citric Acid, Hydrolyzed Silk, 2-Methyl 5-Chloro 4 Isothizolin 3-One,D-Panthanol, Butylene Glycol,Cocamido Propyl Betaine,Lauramide DEA,Propyl Paraben, Methyl Paraben ,Tocopherol Acetate, Sodium Chloride, Fragrance,
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India",Nice shampoo & soft hair :- Very good product :- Good,SRASRAretail4.8
